%time,field.header.seq,field.header.stamp,field.header.frame_id,42.33709335,-71.0898819,field.altitude,field.northing,field.easting,field.zone
1.58095E+18,220,1.58095E+18,,42.33699417,-71.08970642,-23.79999924,4689308.243,327848.0051,19T
1.58095E+18,221,1.58095E+18,,42.33698654,-71.0896759,-23.59999847,4689307.334,327850.4984,19T
1.58095E+18,222,1.58095E+18,,42.33698273,-71.08964539,-23.5,4689306.849,327853.0022,19T
1.58095E+18,223,1.58095E+18,,42.33698654,-71.08960724,-23.39999962,4689307.195,327856.1553,19T
1.58095E+18,224,1.58095E+18,,42.33699417,-71.08957672,-23.29999924,4689307.981,327858.6903,19T
1.58095E+18,225,1.58095E+18,,42.33701324,-71.0895462,-23.19999886,4689310.037,327861.2565,19T
1.58095E+18,226,1.58095E+18,,42.33703613,-71.08952332,-23.19999886,4689312.532,327863.2046,19T
1.58095E+18,227,1.58095E+18,,42.33706284,-71.08950806,-23.09999847,4689315.466,327864.5346,19T
1.58095E+18,228,1.58095E+18,,42.33708954,-71.08950043,-23.09999847,4689318.416,327865.236,19T
1.58095E+18,229,1.58095E+18,,42.33712006,-71.08950806,-23.09999847,4689321.82,327864.6907,19T
1.58095E+18,230,1.58095E+18,,42.33714676,-71.08952332,-22.69999886,4689324.816,327863.5065,19T
1.58095E+18,231,1.58095E+18,,42.33716965,-71.0895462,-22.5,4689327.404,327861.6833,19T
1.58095E+18,232,1.58095E+18,,42.33718872,-71.08957672,-22.29999924,4689329.584,327859.2212,19T
1.58095E+18,233,1.58095E+18,,42.33720398,-71.08960724,-22.59999847,4689331.34,327856.7487,19T
1.58095E+18,234,1.58095E+18,,42.33721161,-71.08965302,-22.89999962,4689332.28,327852.9982,19T
1.58095E+18,235,1.58095E+18,,42.33720779,-71.08969879,-23.09999847,4689331.949,327849.2166,19T
1.58095E+18,236,1.58095E+18,,42.33719635,-71.08973694,-23.29999924,4689330.755,327846.0426,19T
1.58095E+18,237,1.58095E+18,,42.33717346,-71.08977509,-23.5,4689328.291,327842.8375,19T
1.58095E+18,238,1.58095E+18,,42.33714294,-71.08979797,-23.69999886,4689324.949,327840.8686,19T
1.58095E+18,239,1.58095E+18,,42.3371048,-71.0898056,-23.69999886,4689320.728,327840.1359,19T
1.58095E+18,240,1.58095E+18,,42.33707047,-71.0898056,-23.5,4689316.916,327840.0422,19T
1.58095E+18,241,1.58095E+18,,42.33703995,-71.08978271,-23.29999924,4689313.481,327841.8446,19T
