%time,4220.66048,7105.71575,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1.58E+18,4220.62632,7105.84583,9.2,594678.1466,6945308.212,43,V
1.58E+18,4220.62592,7105.84702,9.5,594740.9627,6945265.423,43,V
1.58E+18,4220.62528,7105.84787,10.7,594784.2237,6945188.634,43,V
1.58E+18,4220.62484,7105.84908,10.7,594847.0434,6945145.846,43,V
1.58E+18,4220.62445,7105.85031,10.8,594914.9934,6945103.207,43,V
1.58E+18,4220.62396,7105.85152,11.1,594978.1361,6945049.285,43,V
1.58E+18,4220.62358,7105.8529,11.1,595051.2186,6945006.796,43,V
1.58E+18,4220.62323,7105.85396,11.3,595103.4673,6944974.856,43,V
1.58E+18,4220.62293,7105.85516,10.9,595165.9749,6944943.213,43,V
1.58E+18,4220.62274,7105.85635,10.3,595228.1631,6944922.708,43,V
1.58E+18,4220.62248,7105.85771,10.1,595300.9309,6944891.362,43,V
1.58E+18,4220.62218,7105.859,10,595368.5711,6944859.87,43,V
1.58E+18,4220.62191,7105.86042,9.5,595441.0204,6944839.665,43,V
1.58E+18,4220.62173,7105.86173,9.6,595508.3416,6944819.313,43,V
1.58E+18,4220.62152,7105.86294,9.2,595570.5344,6944798.815,43,V
1.58E+18,4220.62114,7105.86409,9.4,595628.2426,6944755.894,43,V
1.58E+18,4220.6209,7105.86527,9.8,595690.4375,6944735.398,43,V
1.58E+18,4220.62074,7105.86656,10.4,595757.7624,6944715.052,43,V
1.58E+18,4220.62051,7105.86792,10.8,595830.2176,6944694.855,43,V
1.58E+18,4220.62029,7105.86916,11.1,595892.7377,6944663.225,43,V
1.58E+18,4220.61989,7105.87032,11.4,595955.582,6944620.459,43,V
1.58E+18,4220.61944,7105.87151,11.7,596018.4279,6944577.693,43,V
1.58E+18,4220.6191,7105.87256,12.1,596070.6929,6944545.769,43,V
1.58E+18,4220.61888,7105.8738,12.4,596138.3478,6944514.293,43,V
1.58E+18,4220.61859,7105.87508,12.9,596200.8744,6944482.668,43,V
1.58E+18,4220.61815,7105.87623,12.7,596263.7261,6944439.908,43,V
1.58E+18,4220.61779,7105.8774,12.3,596326.5795,6944397.148,43,V
1.58E+18,4220.61736,7105.87874,12.1,596394.5643,6944354.539,43,V
1.58E+18,4220.61697,7105.88011,12,596467.6808,6944312.081,43,V
1.58E+18,4220.61653,7105.88145,12.1,596535.6693,6944269.475,43,V
1.58E+18,4220.61665,7105.88276,12.1,596602.0341,6944282.559,43,V
1.58E+18,4220.61648,7105.8841,11.5,596674.5043,6944262.381,43,V
1.58E+18,4220.61603,7105.88535,11.5,596737.3665,6944219.629,43,V
1.58E+18,4220.61586,7105.88645,11.5,596794.4487,6944199.004,43,V
1.58E+18,4220.61538,7105.8876,11.7,596857.6395,6944145.116,43,V
1.58E+18,4220.61509,7105.88877,12,596915.0499,6944113.356,43,V
1.58E+18,4220.61471,7105.88993,11.9,596977.5918,6944081.746,43,V
1.58E+18,4220.61435,7105.8911,11.5,597040.4613,6944039,43,V
1.58E+18,4220.61394,7105.89234,11.7,597103.3325,6943996.255,43,V
1.58E+18,4220.6138,7105.89371,11.7,597175.4853,6943987.225,43,V
1.58E+18,4220.6133,7105.89493,11.4,597238.6865,6943933.345,43,V
1.58E+18,4220.61281,7105.896,11,597296.759,6943879.316,43,V
1.58E+18,4220.61237,7105.89713,10.8,597354.8335,6943825.287,43,V
1.58E+18,4220.61211,7105.89832,9.9,597417.0573,6943804.824,43,V
1.58E+18,4220.61182,7105.89935,9.5,597469.3483,6943772.921,43,V
1.58E+18,4220.61189,7105.90035,9,597520.656,6943774.432,43,V
1.58E+18,4220.61161,7105.90148,8.8,597577.7511,6943753.82,43,V
1.58E+18,4220.61109,7105.90279,8.9,597646.4226,6943688.962,43,V
1.58E+18,4220.6107,7105.90396,9.1,597708.9797,6943657.366,43,V
1.58E+18,4220.61057,7105.90531,9.7,597781.4709,6943637.212,43,V
1.58E+18,4220.61028,7105.90656,9.9,597844.0303,6943605.618,43,V
1.58E+18,4220.60965,7105.90778,10.3,597907.579,6943540.614,43,V
1.58E+18,4220.60903,7105.90888,11.2,597965.9989,6943475.458,43,V
1.58E+18,4220.60861,7105.90994,11.7,598023.7616,6943432.579,43,V
1.58E+18,4220.60813,7105.91106,11.8,598081.8556,6943378.563,43,V
1.58E+18,4220.60795,7105.91215,10.8,598138.9612,6943357.961,43,V
1.58E+18,4220.60766,7105.91295,11.1,598181.0034,6943325.765,43,V
1.58E+18,4220.6072,7105.91396,10.7,598233.6399,6943282.737,43,V
1.58E+18,4220.60654,7105.91496,11,598287.2696,6943206.298,43,V
1.58E+18,4220.60622,7105.91618,12.5,598349.842,6943174.714,43,V
1.58E+18,4220.60573,7105.91749,13.5,598418.2094,6943121.009,43,V
1.58E+18,4220.6051,7105.91843,13,598471.5147,6943055.71,43,V
1.58E+18,4220.60488,7105.91953,12.8,598528.9597,6943023.976,43,V
1.58E+18,4220.60464,7105.92073,13.3,598591.2063,6943003.535,43,V
1.58E+18,4220.60423,7105.92215,13.5,598664.3814,6942961.125,43,V
1.58E+18,4220.60392,7105.92331,13.2,598726.9621,6942929.548,43,V
1.58E+18,4220.60356,7105.92474,12.4,598800.1406,6942887.141,43,V
1.58E+18,4220.6034,7105.92607,12.5,598867.1912,6942877.995,43,V
1.58E+18,4220.6032,7105.92741,12.7,598939.7072,6942857.866,43,V
1.58E+18,4220.60307,7105.92865,12.5,599001.9596,6942837.432,43,V
1.58E+18,4220.60293,7105.92993,12.5,599069.0119,6942828.29,43,V
1.58E+18,4220.60271,7105.93133,12.7,599141.5303,6942808.165,43,V
1.58E+18,4220.60264,7105.93274,13.3,599213.716,6942799.18,43,V
1.58E+18,4220.60244,7105.93403,13,599281.1038,6942778.904,43,V
1.58E+18,4220.6021,7105.93523,12.8,599343.6941,6942747.339,43,V
1.58E+18,4220.60177,7105.93648,12.8,599406.6199,6942704.638,43,V
1.58E+18,4220.6016,7105.93787,12.8,599478.8088,6942695.658,43,V
1.58E+18,4220.60145,7105.93929,13.1,599551.3329,6942675.542,43,V
1.58E+18,4220.6012,7105.94049,12.7,599613.5929,6942655.119,43,V
1.58E+18,4220.60067,7105.94149,12,599666.9292,6942589.839,43,V
1.58E+18,4220.60029,7105.9427,11.5,599734.995,6942547.298,43,V
1.58E+18,4220.59993,7105.94391,11.4,599797.5942,6942515.742,43,V
1.58E+18,4220.59947,7105.94513,11.4,599860.8662,6942461.911,43,V
1.58E+18,4220.59908,7105.94628,11.5,599918.6714,6942419.065,43,V
1.58E+18,4220.5988,7105.94747,11.1,599980.9386,6942398.649,43,V
1.58E+18,4220.59845,7105.94869,11.2,600043.8794,6942355.959,43,V
1.58E+18,4220.59814,7105.95,11.3,600116.7514,6942324.719,43,V
1.58E+18,4220.59764,7105.95117,11.6,600174.8991,6942270.739,43,V
1.58E+18,4220.59713,7105.95225,11.9,600233.0487,6942216.761,43,V
1.58E+18,4220.59674,7105.95357,11.7,600301.1295,6942174.231,43,V
1.58E+18,4220.59655,7105.95489,11.6,600368.5371,6942153.978,43,V
1.58E+18,4220.59621,7105.95614,11.5,600436.2833,6942122.589,43,V
1.58E+18,4220.59605,7105.95739,11.2,600498.5595,6942102.183,43,V
1.58E+18,4220.59567,7105.95868,11.1,600566.6462,6942059.659,43,V
1.58E+18,4220.59573,7105.95994,10.6,600633.0429,6942072.823,43,V
1.58E+18,4220.59548,7105.96116,10.1,600695.6599,6942041.283,43,V
1.58E+18,4220.5952,7105.96246,10.1,600763.0729,6942021.038,43,V
1.58E+18,4220.59487,7105.96368,10,600826.0312,6941978.363,43,V
1.58E+18,4220.59432,7105.96478,10.4,600884.1966,6941924.396,43,V
1.58E+18,4220.59386,7105.96588,10.4,600942.3639,6941870.43,43,V
1.58E+18,4220.59338,7105.96708,10.3,601005.6669,6941816.621,43,V
1.58E+18,4220.59288,7105.96819,10.2,601063.838,6941762.657,43,V
1.58E+18,4220.59257,7105.9693,10.3,601126.4651,6941731.125,43,V
1.58E+18,4220.5925,7105.97054,10.1,601188.0729,6941733.006,43,V
1.58E+18,4220.5923,7105.97178,10.2,601250.3614,6941712.614,43,V
1.58E+18,4220.59234,7105.97303,10.8,601317.1036,6941714.655,43,V
1.58E+18,4220.59198,7105.9744,10.7,601390.3431,6941672.304,43,V
1.58E+18,4220.59157,7105.97561,11.5,601453.3162,6941629.642,43,V
1.58E+18,4220.5913,7105.97689,11.3,601515.6084,6941609.254,43,V
1.58E+18,4220.59106,7105.97823,11.4,601588.5113,6941578.046,43,V
1.58E+18,4220.59066,7105.97946,11.4,601651.4888,6941535.387,43,V
1.58E+18,4220.58988,7105.9806,11,601715.8356,6941448.18,43,V
1.58E+18,4220.58945,7105.98194,11.1,601783.9517,6941405.681,43,V
1.58E+18,4220.58903,7105.98359,11.2,601867.4732,6941363.657,43,V
1.58E+18,4220.58898,7105.98431,11.6,601908.8922,6941353.782,43,V
1.58E+18,4220.5886,7105.98552,11.7,601971.5354,6941322.266,43,V
1.58E+18,4220.58848,7105.98669,12,602028.7021,6941301.731,43,V
1.58E+18,4220.58795,7105.98769,11.7,602081.7643,6941247.626,43,V
1.58E+18,4220.58758,7105.98879,11.3,602139.6196,6941204.818,43,V
1.58E+18,4220.58736,7105.98953,11.6,602181.385,6941183.81,43,V
1.58E+18,4220.58688,7105.99041,11.3,602229.3165,6941129.55,43,V
1.58E+18,4220.58635,7105.99127,11.8,602272.1146,6941075.131,43,V
1.58E+18,4220.58595,7105.99232,11.5,602329.9754,6941032.327,43,V
1.58E+18,4220.58572,7105.99339,11.7,602382.0143,6941011.638,43,V
